// age
New,LocationDescriptor
Old,LocationDescriptor
// quality
Grand,LocationDescriptor
Great,LocationDescriptor
// direction
East,LocationDescriptor
North,LocationDescriptor
South,LocationDescriptor
West,LocationDescriptor
// colour
Blue,LocationDescriptor
Green,LocationDescriptor
Red,LocationDescriptor
// other
King,LocationDescriptor
Little,LocationDescriptor
Lost,LocationDescriptor
Lucky,LocationDescriptor
Ocean,LocationDescriptor
Prince,LocationDescriptor
Princess,LocationDescriptor
Queen,LocationDescriptor
Twin,LocationDescriptor
